Date,Time,PC0.1,PC0.3,PC0.5,PC1.0,PC2.5,PC5.0,PC10,PM0.1,PM0.3,PM0.5,PM1.0,PM2.5,PM5.0,PM10
13/07/2025,19:51:14,10267,1738,1365,573,267,173,86,10.08,11.87,18.05,18.06,43.62,51.36,72.34
13/07/2025,19:51:15,7872,2842,1597,664,381,182,99,6.19,10.91,21.71,30.13,33.52,68.46,63.70
13/07/2025,19:51:16,10110,2843,1310,688,405,168,66,6.16,9.95,13.73,22.40,45.25,70.61,73.63
13/07/2025,19:51:17,10182,2328,1534,627,315,200,90,9.01,15.90,24.10,21.12,31.22,62.85,52.35
13/07/2025,19:51:18,7970,2411,973,682,386,149,88,7.41,16.03,16.05,29.06,42.54,59.10,74.66
13/07/2025,19:51:19,7635,1843,955,477,304,189,83,7.17,14.43,20.02,23.79,38.59,58.50,89.22
13/07/2025,19:51:20,6026,2629,1589,829,275,174,86,9.74,11.39,13.50,18.78,45.34,51.42,84.72
13/07/2025,19:51:21,6406,2344,1038,682,411,131,62,9.89,12.98,22.54,29.17,37.39,60.21,52.14
13/07/2025,19:51:22,8331,2722,1315,592,328,146,64,6.75,10.82,14.03,30.19,46.62,61.22,57.34
13/07/2025,19:51:23,9792,2902,1538,589,272,205,66,9.78,13.41,19.84,21.63,47.50,48.48,89.33
13/07/2025,19:51:24,9683,2518,1592,590,363,133,64,7.89,10.02,20.02,22.19,36.61,48.03,51.20
13/07/2025,19:51:25,9757,2846,1461,675,387,122,104,8.99,14.54,15.84,29.17,44.46,51.17,51.15
13/07/2025,19:51:26,7374,2826,1571,786,416,195,61,7.82,12.32,16.61,25.30,31.65,39.81,50.61
13/07/2025,19:51:27,7771,2880,1354,800,354,168,99,7.30,16.56,14.45,22.51,44.77,61.01,70.42
13/07/2025,19:51:28,6858,2627,1605,710,309,166,91,10.19,16.14,15.42,29.20,32.88,61.79,83.31
13/07/2025,19:51:29,7678,2490,1166,702,275,184,59,9.38,14.29,20.62,23.02,37.44,45.74,51.23
13/07/2025,19:51:30,8181,1762,1064,675,386,197,99,8.72,10.67,15.60,24.69,43.65,44.21,84.18
13/07/2025,19:51:31,9808,3005,1466,554,238,115,91,9.50,9.07,24.43,27.63,38.13,55.78,51.66
13/07/2025,19:51:32,8405,2568,1088,758,386,182,74,8.86,13.14,21.57,23.31,39.70,58.86,65.33
13/07/2025,19:51:33,8765,2730,1107,758,234,197,75,9.97,10.51,16.48,22.82,40.10,53.58,61.73
13/07/2025,19:51:34,10098,2754,1240,774,344,155,88,7.47,12.66,17.65,27.62,37.55,46.96,65.41
13/07/2025,19:51:35,9320,2237,1074,485,338,176,61,5.84,10.54,22.16,31.02,41.66,42.72,62.72
13/07/2025,19:51:36,8808,2858,1637,738,253,179,88,7.49,12.99,14.54,19.36,42.14,70.00,53.31
13/07/2025,19:51:37,8960,1968,1605,725,256,117,67,9.44,13.95,23.42,28.45,42.77,42.77,55.36
13/07/2025,19:51:38,5867,3024,1098,656,363,200,91,6.56,15.44,20.93,29.20,33.31,71.60,90.34
13/07/2025,19:51:39,10275,2557,1344,822,310,179,64,10.27,16.38,15.68,18.34,31.07,45.63,80.78
